Method,N,Time
Force,476,3
CIM,477,1
Force,477,2
CIM,478,1
Force,478,2
CIM,479,1
Force,479,3
CIM,480,1
Force,480,3
CIM,481,1
Force,481,3
CIM,482,1
Force,482,3
CIM,483,4
Force,483,3
CIM,484,1
Force,484,3
CIM,485,1
Force,485,3
CIM,486,1
Force,486,3
CIM,487,1
Force,487,3
CIM,488,1
Force,488,3
CIM,489,1
Force,489,3
CIM,490,1
Force,490,3
CIM,491,1
Force,491,3
CIM,492,1
Force,492,3
CIM,493,1
Force,493,3
CIM,494,1
Force,494,3
CIM,495,1
Force,495,3
CIM,496,1
Force,496,3
CIM,497,1
Force,497,4
CIM,498,1
Force,498,3
CIM,499,1
Force,499,3
CIM,500,1
Force,500,3
CIM,501,1
Force,501,3
CIM,502,1
Force,502,3
CIM,503,1
Force,503,3
CIM,504,1
Force,504,3
CIM,505,1
Force,505,3
CIM,506,1
Force,506,3
CIM,507,1
Force,507,3
CIM,508,1
Force,508,3
CIM,509,1
Force,509,4
CIM,510,1
Force,510,3
CIM,511,1
Force,511,3
CIM,512,1
Force,512,3
CIM,513,2
Force,513,3
CIM,514,1
Force,514,3
CIM,515,1
Force,515,4
CIM,516,1
Force,516,3
CIM,517,2
Force,517,3
CIM,518,1
Force,518,4
CIM,519,1
Force,519,3
CIM,520,1
Force,520,4
CIM,521,1
Force,521,3
CIM,522,1
Force,522,3
CIM,523,1
Force,523,7
CIM,524,2
Force,524,3
CIM,525,2
Force,525,3
CIM,526,1
Force,526,3
CIM,527,2
Force,527,4
CIM,528,1
Force,528,4
CIM,529,1
Force,529,4
CIM,530,1
Force,530,4
CIM,531,1
Force,531,4
CIM,532,1
Force,532,3
CIM,533,2
Force,533,3
CIM,534,2
Force,534,3
CIM,535,1
Force,535,4
CIM,536,1
Force,536,4
CIM,537,1
Force,537,3
CIM,538,2
Force,538,3
CIM,539,2
Force,539,3
CIM,540,1
Force,540,4
CIM,541,1
Force,541,6
CIM,542,3
Force,542,6
CIM,543,2
Force,543,4
CIM,544,1
Force,544,4
CIM,545,1
Force,545,3
CIM,546,2
Force,546,3
CIM,547,2
Force,547,3
CIM,548,1
Force,548,3
CIM,549,1
Force,549,4
CIM,550,1
Force,550,4
CIM,551,1
Force,551,4
CIM,552,1
Force,552,4
CIM,553,1
Force,553,4
CIM,554,2
Force,554,3
CIM,555,2
Force,555,4
CIM,556,1
Force,556,4
CIM,557,1
Force,557,4
CIM,558,1
Force,558,4
CIM,559,6
Force,559,4
CIM,560,2
Force,560,4
CIM,561,2
Force,561,4
CIM,562,3
Force,562,4
CIM,563,2
Force,563,4
CIM,564,2
Force,564,4
CIM,565,2
Force,565,4
CIM,566,3
Force,566,3
CIM,567,2
Force,567,4
CIM,568,2
Force,568,4
CIM,569,2
Force,569,4
CIM,570,2
Force,570,4
CIM,571,1
Force,571,4
CIM,572,2
Force,572,3
CIM,573,2
Force,573,4
CIM,574,1
Force,574,4
CIM,575,2
Force,575,4
CIM,576,1
Force,576,3
CIM,577,1
Force,577,4
CIM,578,2
Force,578,4
CIM,579,1
Force,579,4
CIM,580,2
Force,580,4
CIM,581,2
Force,581,4
CIM,582,1
Force,582,4
CIM,583,2
Force,583,4
CIM,584,2
Force,584,4
CIM,585,2
Force,585,4
CIM,586,1
Force,586,4
CIM,587,2
Force,587,4
CIM,588,2
Force,588,4
CIM,589,2
Force,589,4
CIM,590,2
Force,590,4
CIM,591,1
Force,591,5
CIM,592,1
Force,592,5
CIM,593,1
Force,593,4
CIM,594,1
Force,594,4
CIM,595,2
Force,595,4
CIM,596,2
Force,596,4
CIM,597,5
Force,597,5
CIM,598,2
Force,598,4
CIM,599,2
Force,599,4
CIM,600,2
Force,600,4
CIM,601,1
Force,601,4
CIM,602,2
Force,602,4
CIM,603,2
Force,603,5
CIM,604,1
Force,604,5
CIM,605,1
Force,605,5
CIM,606,2
Force,606,4
CIM,607,2
Force,607,4
CIM,608,2
Force,608,5
CIM,609,1
Force,609,5
CIM,610,2
Force,610,4
CIM,611,2
Force,611,4
CIM,612,1
Force,612,5
CIM,613,2
Force,613,5
CIM,614,2
Force,614,4
CIM,615,2
Force,615,6
CIM,616,2
Force,616,4
CIM,617,1
Force,617,5
CIM,618,2
Force,618,4
CIM,619,2
Force,619,4
CIM,620,2
Force,620,5
CIM,621,2
Force,621,4
CIM,622,2
Force,622,5
CIM,623,2
Force,623,4
CIM,624,2
Force,624,9
CIM,625,3
Force,625,5
CIM,626,2
Force,626,5
CIM,627,2
Force,627,4
CIM,628,2
Force,628,5
CIM,629,2
Force,629,4
CIM,630,2
Force,630,4
CIM,631,1
Force,631,9
CIM,632,2
Force,632,5
CIM,633,2
Force,633,5
CIM,634,2
Force,634,5
CIM,635,2
Force,635,5
CIM,636,2
Force,636,4
CIM,637,2
Force,637,5
CIM,638,2
Force,638,5
CIM,639,2
Force,639,5
CIM,640,2
Force,640,5
CIM,641,2
Force,641,5
CIM,642,2
Force,642,4
CIM,643,2
Force,643,4
CIM,644,2
Force,644,5
CIM,645,1
Force,645,5
CIM,646,2
Force,646,5
CIM,647,3
Force,647,5
CIM,648,2
Force,648,5
CIM,649,2
Force,649,5
CIM,650,2
Force,650,5
CIM,651,2
Force,651,5
CIM,652,2
Force,652,6
CIM,653,2
Force,653,5
CIM,654,2
Force,654,5
CIM,655,3
Force,655,7
CIM,656,3
Force,656,7
CIM,657,2
Force,657,6
CIM,658,2
Force,658,5
CIM,659,2
Force,659,6
CIM,660,2
Force,660,5
CIM,661,2
Force,661,5
CIM,662,2
Force,662,10
CIM,663,2
Force,663,5
CIM,664,2
Force,664,6
CIM,665,2
Force,665,5
CIM,666,3
Force,666,5
CIM,667,2
Force,667,6
CIM,668,2
Force,668,5
CIM,669,2
Force,669,6
CIM,670,2
Force,670,5
CIM,671,2
Force,671,6
CIM,672,2
Force,672,5
CIM,673,2
Force,673,5
CIM,674,2
Force,674,6
CIM,675,2
Force,675,6
CIM,676,2
Force,676,6
CIM,677,2
Force,677,5
CIM,678,2
Force,678,5
CIM,679,3
Force,679,5
CIM,680,2
Force,680,7
CIM,681,2
Force,681,7
CIM,682,2
Force,682,6
CIM,683,2
Force,683,6
CIM,684,2
Force,684,6
CIM,685,3
Force,685,5
CIM,686,3
Force,686,5
CIM,687,2
Force,687,6
CIM,688,2
Force,688,7
CIM,689,5
Force,689,8
CIM,690,3
Force,690,6
CIM,691,6
Force,691,7
CIM,692,3
Force,692,6
CIM,693,4
Force,693,6
CIM,694,3
Force,694,7
CIM,695,3
Force,695,7
CIM,696,3
Force,696,6
CIM,697,4
Force,697,6
CIM,698,3
Force,698,6
CIM,699,3
Force,699,6
CIM,700,4
Force,700,5
CIM,701,2
Force,701,6
CIM,702,2
Force,702,6
CIM,703,3
Force,703,5
CIM,704,2
Force,704,6
CIM,705,2
Force,705,6
CIM,706,3
Force,706,6
CIM,707,2
Force,707,6
CIM,708,3
Force,708,6
CIM,709,2
Force,709,6
CIM,710,2
Force,710,6
CIM,711,3
Force,711,6
CIM,712,2
Force,712,7
CIM,713,2
Force,713,6
CIM,714,3
Force,714,6
CIM,715,3
Force,715,6
CIM,716,2
Force,716,7
CIM,717,2
Force,717,6
CIM,718,3
Force,718,7
CIM,719,2
Force,719,6
CIM,720,2
Force,720,6
CIM,721,2
Force,721,6
CIM,722,3
Force,722,6
CIM,723,6
Force,723,8
CIM,724,2
Force,724,7
CIM,725,2
Force,725,6
CIM,726,2
Force,726,7
CIM,727,2
Force,727,7
CIM,728,2
Force,728,7
CIM,729,3
Force,729,6
CIM,730,3
Force,730,6
CIM,731,2
Force,731,7
CIM,732,2
Force,732,7
CIM,733,3
Force,733,6
CIM,734,3
Force,734,6
CIM,735,3
Force,735,7
CIM,736,4
Force,736,7
CIM,737,3
Force,737,7
CIM,738,3
Force,738,6
CIM,739,2
Force,739,7
CIM,740,3
Force,740,7
CIM,741,2
Force,741,7
CIM,742,4
Force,742,12
CIM,743,3
Force,743,9
CIM,744,3
Force,744,6
CIM,745,3
Force,745,7
CIM,746,3
Force,746,7
CIM,747,2
Force,747,7
CIM,748,3
Force,748,7
CIM,749,3
Force,749,7
CIM,750,3
Force,750,7
CIM,751,3
Force,751,6
CIM,752,5
Force,752,8
CIM,753,3
Force,753,7
CIM,754,3
Force,754,7
CIM,755,3
Force,755,7
CIM,756,3
Force,756,6
CIM,757,3
Force,757,6
CIM,758,2
Force,758,8
CIM,759,3
Force,759,7
CIM,760,3
Force,760,7
CIM,761,3
Force,761,7
CIM,762,3
Force,762,7
CIM,763,3
Force,763,7
CIM,764,2
Force,764,7
CIM,765,3
Force,765,7
CIM,766,3
Force,766,7
CIM,767,3
Force,767,7
CIM,768,3
Force,768,8
CIM,769,3
Force,769,7
CIM,770,3
Force,770,7
CIM,771,3
Force,771,7
CIM,772,3
Force,772,8
CIM,773,3
Force,773,7
CIM,774,3
Force,774,7
CIM,775,3
Force,775,8
CIM,776,3
Force,776,7
CIM,777,3
Force,777,8
CIM,778,3
Force,778,7
CIM,779,6
Force,779,8
CIM,780,3
Force,780,7
CIM,781,3
Force,781,8
CIM,782,3
Force,782,7
CIM,783,4
Force,783,8
CIM,784,3
Force,784,8
CIM,785,3
Force,785,8
CIM,786,3
Force,786,8
CIM,787,3
Force,787,8
CIM,788,3
Force,788,7
CIM,789,3
Force,789,13
CIM,790,4
Force,790,8
CIM,791,3
Force,791,8
CIM,792,3
Force,792,8
CIM,793,3
Force,793,7
CIM,794,3
Force,794,7
CIM,795,3
Force,795,8
CIM,796,3
Force,796,7
CIM,797,3
Force,797,7
CIM,798,3
Force,798,8
CIM,799,3
Force,799,8
CIM,800,3
Force,800,8
CIM,801,3
Force,801,7
CIM,802,4
Force,802,7
CIM,803,3
Force,803,8
CIM,804,3
Force,804,8
CIM,805,5
Force,805,8
CIM,806,4
Force,806,8
CIM,807,3
Force,807,8
CIM,808,3
Force,808,8
CIM,809,4
Force,809,8
CIM,810,4
Force,810,8
CIM,811,3
Force,811,10
CIM,812,3
Force,812,11
CIM,813,4
Force,813,9
CIM,814,4
Force,814,9
CIM,815,4
Force,815,10
CIM,816,4
Force,816,9
CIM,817,4
Force,817,9
CIM,818,4
Force,818,9
CIM,819,4
Force,819,9
CIM,820,5
Force,820,9
CIM,821,4
Force,821,9
CIM,822,4
Force,822,9
CIM,823,4
Force,823,9
CIM,824,4
Force,824,9
CIM,825,3
Force,825,8
CIM,826,3
Force,826,8
CIM,827,3
Force,827,9
CIM,828,3
Force,828,14
CIM,829,4
Force,829,15
CIM,830,5
Force,830,9
CIM,831,4
Force,831,9
CIM,832,4
Force,832,9
CIM,833,3
Force,833,9
CIM,834,4
Force,834,9
CIM,835,4
Force,835,9
CIM,836,4
Force,836,9
CIM,837,4
Force,837,9
CIM,838,4
Force,838,9
CIM,839,4
Force,839,9
CIM,840,4
Force,840,9
CIM,841,4
Force,841,9
CIM,842,5
Force,842,9
CIM,843,4
Force,843,10
CIM,844,4
Force,844,10
CIM,845,4
Force,845,10
CIM,846,4
Force,846,9
CIM,847,4
Force,847,9
CIM,848,4
Force,848,9
CIM,849,4
Force,849,9
CIM,850,5
Force,850,9
CIM,851,7
Force,851,10
CIM,852,4
Force,852,9
CIM,853,4
Force,853,9
CIM,854,4
Force,854,9
CIM,855,4
Force,855,8
CIM,856,3
Force,856,9
CIM,857,4
Force,857,13
CIM,858,6
Force,858,10
CIM,859,4
Force,859,10
CIM,860,4
Force,860,9
CIM,861,5
Force,861,9
CIM,862,4
Force,862,13
CIM,863,11
Force,863,18
CIM,864,6
Force,864,13
CIM,865,5
Force,865,12
CIM,866,6
Force,866,11
CIM,867,6
Force,867,16
CIM,868,5
Force,868,16
CIM,869,11
Force,869,20
CIM,870,11
Force,870,24
CIM,871,12
Force,871,23
CIM,872,15
Force,872,27
CIM,873,6
Force,873,14
CIM,874,6
Force,874,15
CIM,875,7
Force,875,14
CIM,876,7
Force,876,13
CIM,877,7
Force,877,14
CIM,878,6
Force,878,13
CIM,879,6
Force,879,14
CIM,880,6
Force,880,12
CIM,881,7
Force,881,14
CIM,882,7
Force,882,14
CIM,883,7
Force,883,21
CIM,884,9
Force,884,38
CIM,885,23
Force,885,25
CIM,886,14
Force,886,20
CIM,887,10
Force,887,32
CIM,888,16
Force,888,32
CIM,889,13
Force,889,19
CIM,890,10
Force,890,16
CIM,891,5
Force,891,11
CIM,892,4
Force,892,13
CIM,893,7
Force,893,12
CIM,894,4
Force,894,10
CIM,895,6
Force,895,11
CIM,896,5
Force,896,10
CIM,897,4
Force,897,11
CIM,898,5
Force,898,11
CIM,899,7
Force,899,16
CIM,900,10
Force,900,18
CIM,901,9
Force,901,19
CIM,902,12
Force,902,15
CIM,903,7
Force,903,24
CIM,904,12
Force,904,17
CIM,905,7
Force,905,19
CIM,906,6
Force,906,17
CIM,907,6
Force,907,17
CIM,908,7
Force,908,11
CIM,909,4
Force,909,10
CIM,910,5
Force,910,11
CIM,911,4
Force,911,11
CIM,912,5
Force,912,11
CIM,913,6
Force,913,13
CIM,914,12
Force,914,22
CIM,915,6
Force,915,14
CIM,916,6
Force,916,14
CIM,917,6
Force,917,17
CIM,918,10
Force,918,21
CIM,919,13
Force,919,14
CIM,920,5
Force,920,11
CIM,921,7
Force,921,12
CIM,922,6
Force,922,12
CIM,923,5
Force,923,11
CIM,924,5
Force,924,10
CIM,925,5
Force,925,10
CIM,926,4
Force,926,11
CIM,927,7
Force,927,15
CIM,928,6
Force,928,15
CIM,929,5
Force,929,12
CIM,930,5
Force,930,11
CIM,931,5
Force,931,11
CIM,932,7
Force,932,12
